ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
612000000,Photo,American Wigeon,Mareca americana,,,Robin Hartley,2024-01-03,2024,1,3,1750,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,Adult Female – 1,"Courtship, Display, or Copulation",,,,,,,,,,S9000000000,,,,,,,,,340,,3.20,39,,,
612000001,Video,Red-tailed Hawk,Buteo jamaicensis,,,Robin Hartley,2024-01-03,2024,1,3,1015,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,Adult – 1,Foraging or Eating,,,,,,,,,,S9000000000,,,,,,,,,3250,,3.87,26,,,
612000002,Photo,Herring Gull,Larus argentatus,,,Robin Hartley,2024-01-17,2024,1,17,630,United States,United States/NY/Nassau,NY,Nassau,Jones Beach SP--Coast Guard Station,40.5985,-73.5070,Adult Female – 1,,,,,,,,,,,S9000000003,,,,,,,,,2470,,4.27,24,,,
612000003,Photo,White-breasted Nuthatch,Sitta carolinensis,,,Robin Hartley,2024-01-22,2024,1,22,915,United States,United States/NY/Nassau,NY,Nassau,Jones Beach SP--Coast Guard Station,40.5985,-73.5070,Adult – 1,,,,,,,,,,,S9000000005,,,,,,,,,4300,,4.20,34,,,
612000004,Video,Northern Cardinal,Cardinalis cardinalis,,,Robin Hartley,2024-01-22,2024,1,22,1610,United States,United States/NY/Nassau,NY,Nassau,Jones Beach SP--Coast Guard Station,40.5985,-73.5070,Adult – 1,,,,,,,,,,,S9000000005,,,,,,,,,6150,,3.36,5,,,
612000005,Photo,White-breasted Nuthatch,Sitta carolinensis,,,Robin Hartley,2024-01-24,2024,1,24,1640,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,,Feeding Young,,,,,,,,,,S9000000006,,,,,,,,,4300,,4.64,22,,,
612000006,Video,White-breasted Nuthatch,Sitta carolinensis,,,Robin Hartley,2024-01-24,2024,1,24,940,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Adult Male – 1,Carrying Food,,,,,,,,,,S9000000006,,,,,,,,,4300,,4.87,22,,,
612000007,Photo,Green-winged Teal,Anas crecca,,,Robin Hartley,2024-01-30,2024,1,30,1610,United States,United States/NY/Orange,NY,Orange,Sterling Forest SP,41.1976,-74.2549,,"Courtship, Display, or Copulation",,,,,,,,,,S9000000007,,,,,,,,,380,,4.13,10,,,
612000008,Photo,Pileated Woodpecker,Dryocopus pileatus,,,Robin Hartley,2024-02-01,2024,2,1,1720,United States,United States/NY/Nassau,NY,Nassau,Jones Beach SP--Coast Guard Station,40.5985,-73.5070,Adult – 1,"Courtship, Display, or Copulation",,,,,,,,,,S9000000008,,,,,,,,,3620,,3.13,32,,,
612000009,Video,Hairy Woodpecker,Dryobates villosus,,,Robin Hartley,2024-02-05,2024,2,5,1220,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,Juvenile – 1,Feeding Young,,,,,,,,,,S9000000009,,,,,,,,,3570,,4.93,38,,,
612000010,Video,American Wigeon,Mareca americana,,,Robin Hartley,2024-02-05,2024,2,5,1440,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,,,,,,,,,,,,S9000000009,,,,,,,,,340,,4.58,8,,,
612000011,Photo,Red-winged Blackbird,Agelaius phoeniceus,,,Robin Hartley,2024-02-07,2024,2,7,1110,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Adult – 1,,,,,,,,,,,S9000000012,,,,,,,,,5550,,3.16,22,,,
612000012,Photo,Rock Pigeon,Columba livia,,,Robin Hartley,2024-02-20,2024,2,20,1515,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Adult Female – 1,Nest Building,,,,,,,,,,S9000000017,,,,,,,,,1000,,4.22,8,,,
612000013,Photo,Herring Gull,Larus argentatus,,,Robin Hartley,2024-02-20,2024,2,20,1450,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,,,,,,,,,,,,S9000000017,,,,,,,,,2470,,3.25,40,,,
612000014,Photo,Herring Gull,Larus argentatus,,,Robin Hartley,2024-02-20,2024,2,20,1045,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Adult – 1,,,,,,,,,,,S9000000017,,,,,,,,,2470,,4.48,15,,,
612000015,Audio,Gadwall,Mareca strepera,,,Robin Hartley,2024-02-20,2024,2,20,610,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,,,,,,,,,,,,S9000000018,,,,,,,,,330,,4.92,7,,,
612000016,Photo,Downy Woodpecker,Dryobates pubescens,,,Robin Hartley,2024-02-28,2024,2,28,1245,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Immature – 1,,,,,,,,,,,S9000000021,,,,,,,,,3550,,3.12,2,,,
612000017,Audio,Hooded Merganser,Lophodytes cucullatus,,,Robin Hartley,2024-02-28,2024,2,28,745,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,,,,,,,,,,,,S9000000021,,,,,,,,,440,,3.36,40,,,
612000018,Photo,Cooper’s Hawk,Astur cooperii,,,Robin Hartley,2024-02-28,2024,2,28,915,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Immature – 1,,,,,,,,,,,S9000000021,,,,,,,,,3100,,4.52,12,,,
612000019,Photo,Red-breasted Merganser,Mergus serrator,,,Robin Hartley,2024-02-28,2024,2,28,720,United States,United States/NY/New York,NY,New York,Central Park,40.7813,-73.9665,Unknown – 1,,,,,,,,,,,S9000000022,,,,,,,,,450,,4.36,22,,,
612000020,Photo,Red-breasted Merganser,Mergus serrator,,,Robin Hartley,2024-02-28,2024,2,28,1200,United States,United States/NY/New York,NY,New York,Central Park,40.7813,-73.9665,Adult – 1,,,,,,,,,,,S9000000022,,,,,,,,,450,,3.68,13,,,
612000021,Audio,Gadwall,Mareca strepera,,,Robin Hartley,2024-03-06,2024,3,6,745,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,,Call,,,,,,,,,,S9000000024,,,,,,,,,330,,4.69,12,,,
612000022,Photo,Fish Crow,Corvus ossifragus,,,Robin Hartley,2024-03-13,2024,3,13,1615,United States,United States/NY/Nassau,NY,Nassau,Jones Beach SP--Coast Guard Station,40.5985,-73.5070,Adult – 1,,,,,,,,,,,S9000000028,,,,,,,,,4060,,3.21,12,,,
612000023,Photo,Fish Crow,Corvus ossifragus,,,Robin Hartley,2024-03-13,2024,3,13,1250,United States,United States/NY/Nassau,NY,Nassau,Jones Beach SP--Coast Guard Station,40.5985,-73.5070,Adult Female – 1,,,,,,,,,,,S9000000028,,,,,,,,,4060,,4.32,15,,,
612000024,Photo,Herring Gull,Larus argentatus,,,Robin Hartley,2024-03-13,2024,3,13,800,United States,United States/NY/Nassau,NY,Nassau,Jones Beach SP--Coast Guard Station,40.5985,-73.5070,Adult Female – 1,,,,,,,,,,,S9000000028,,,,,,,,,2470,,3.16,26,,,
612000025,Photo,Herring Gull,Larus argentatus,,,Robin Hartley,2024-03-13,2024,3,13,1610,United States,United States/NY/Nassau,NY,Nassau,Jones Beach SP--Coast Guard Station,40.5985,-73.5070,Juvenile – 1,,,,,,,,,,,S9000000028,,,,,,,,,2470,,3.56,23,,,
612000026,Video,Hairy Woodpecker,Dryobates villosus,,,Robin Hartley,2024-03-20,2024,3,20,1305,United States,United States/NY/Orange,NY,Orange,Sterling Forest SP,41.1976,-74.2549,Adult Female – 1; Adult Female – 1,,,,,,,,,,,S9000000030,,,,,,,,,3570,,4.24,2,,,
612000027,Photo,Hairy Woodpecker,Dryobates villosus,,,Robin Hartley,2024-03-20,2024,3,20,1140,United States,United States/NY/Orange,NY,Orange,Sterling Forest SP,41.1976,-74.2549,Juvenile – 1,,,,,,,,,,,S9000000030,,,,,,,,,3570,,4.97,6,,,
612000028,Photo,Carolina Wren,Thryothorus ludovicianus,,,Robin Hartley,2024-03-20,2024,3,20,650,United States,United States/NY/Orange,NY,Orange,Sterling Forest SP,41.1976,-74.2549,Adult – 1,"Preening, Scratching, or Bathing",,,,,,,,,,S9000000030,,,,,,,,,4450,,4.95,38,,,
612000029,Video,Pied-billed Grebe,Podilymbus podiceps,,,Robin Hartley,2024-03-20,2024,3,20,650,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Adult – 1,"Preening, Scratching, or Bathing",,,,,,,,,,S9000000032,,,,,,,,,490,,3.58,30,,,
612000030,Audio,Tree Swallow,Tachycineta bicolor,,,Robin Hartley,2024-03-26,2024,3,26,600,United States,United States/NY/Queens,NY,Queens,Jamaica Bay Wildlife Refuge,40.6188,-73.8233,,,,,,,,,,,,S9000000033,,,,,,,,,4100,,4.45,8,,,
612000031,Video,Tree Swallow,Tachycineta bicolor,,,Robin Hartley,2024-03-26,2024,3,26,830,United States,United States/NY/Queens,NY,Queens,Jamaica Bay Wildlife Refuge,40.6188,-73.8233,Adult – 1,"Courtship, Display, or Copulation",,,,,,,,,,S9000000033,,,,,,,,,4100,,4.84,36,,,
612000032,Video,Turkey Vulture,Cathartes aura,,,Robin Hartley,2024-03-26,2024,3,26,645,United States,United States/NY/Queens,NY,Queens,Jamaica Bay Wildlife Refuge,40.6188,-73.8233,Adult – 1,Foraging or Eating,,,,,,,,,,S9000000033,,,,,,,,,2960,,4.95,33,,,
612000033,Photo,Pied-billed Grebe,Podilymbus podiceps,,,Robin Hartley,2024-03-26,2024,3,26,1250,United States,United States/NY/Queens,NY,Queens,Jamaica Bay Wildlife Refuge,40.6188,-73.8233,Adult – 1; Immature – 1,,,,,,,,,,,S9000000033,,,,,,,,,490,,3.34,11,,,
612000034,Photo,Black Vulture,Coragyps atratus,,,Robin Hartley,2024-03-26,2024,3,26,1400,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Adult Female – 1; Immature – 1,,,,,,,,,,,S9000000034,,,,,,,,,2950,,4.03,4,,,
612000035,Photo,Red-tailed Hawk,Buteo jamaicensis,,,Robin Hartley,2024-03-26,2024,3,26,1515,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,,,,,,,,,,,,S9000000034,,,,,,,,,3250,,4.32,20,,,
612000036,Video,Red-tailed Hawk,Buteo jamaicensis,,,Robin Hartley,2024-03-26,2024,3,26,1605,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Adult Female – 1,,,,,,,,,,,S9000000034,,,,,,,,,3250,,4.78,12,,,
612000037,Audio,Common Raven,Corvus corax,,,Robin Hartley,2024-04-01,2024,4,1,820,United States,United States/NJ/Cape May,NJ,Cape May,Cape May Point SP,38.9319,-74.9610,,,,,,,,,,,,S9000000036,,,,,,,,,4070,,3.37,11,,,
612000038,Audio,European Starling,Sturnus vulgaris,,,Robin Hartley,2024-04-03,2024,4,3,540,United States,United States/NY/Suffolk,NY,Suffolk,Montauk Point SP,41.0717,-71.8567,,Vocalizing,,,,,,,,,,S9000000037,,,,,,,,,4800,,4.39,39,,,
612000039,Photo,White-throated Sparrow,Zonotrichia albicollis,,,Robin Hartley,2024-04-03,2024,4,3,1200,United States,United States/NY/Suffolk,NY,Suffolk,Montauk Point SP,41.0717,-71.8567,Adult Male – 1; Immature – 1,,,,,,,,,,,S9000000037,,,,,,,,,5180,,3.53,8,,,
612000040,Video,Common Grackle,Quiscalus quiscula,,,Robin Hartley,2024-04-08,2024,4,8,1705,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Adult Female – 1; Juvenile – 1,,,,,,,,,,,S9000000039,,,,,,,,,5600,,4.29,16,,,
612000041,Audio,Common Grackle,Quiscalus quiscula,,,Robin Hartley,2024-04-08,2024,4,8,520,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Adult – 1,Song,,,,,,,,,,S9000000039,,,,,,,,,5600,,3.83,17,,,
612000042,Photo,Swamp Sparrow,Melospiza georgiana,,,Robin Hartley,2024-04-08,2024,4,8,1615,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,Adult Female – 1; Adult Male – 1,,,,,,,,,,,S9000000040,,,,,,,,,5250,,4.40,29,,,
612000043,Photo,Great Horned Owl,Bubo virginianus,,,Robin Hartley,2024-04-08,2024,4,8,1200,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,,"Nest Building; Preening, Scratching, or Bathing",,,,,,,,,,S9000000040,,,,,,,,,3320,,3.59,32,,,
612000044,Photo,Eastern Towhee,Pipilo erythrophthalmus,,,Robin Hartley,2024-04-08,2024,4,8,1510,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,,,,,,,,,,,,S9000000041,,,,,,,,,5300,,3.70,7,,,
612000045,Video,Turkey Vulture,Cathartes aura,,,Robin Hartley,2024-04-10,2024,4,10,620,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Adult – 1,Carrying Food,,,,,,,,,,S9000000042,,,,,,,,,2960,,3.72,9,,,
612000046,Photo,Rock Pigeon,Columba livia,,,Robin Hartley,2024-04-14,2024,4,14,1250,United States,United States/NJ/Monmouth,NJ,Monmouth,Sandy Hook,40.4376,-73.9916,Adult Female – 1,,,,,,,,,,,S9000000044,,,,,,,,,1000,,4.38,30,,,
612000047,Photo,Eastern Bluebird,Sialia sialis,,,Robin Hartley,2024-04-14,2024,4,14,1140,United States,United States/NJ/Monmouth,NJ,Monmouth,Sandy Hook,40.4376,-73.9916,Juvenile – 1,Feeding Young,,,,,,,,,,S9000000044,,,,,,,,,4600,,3.93,10,,,
612000048,Photo,Eastern Bluebird,Sialia sialis,,,Robin Hartley,2024-04-14,2024,4,14,1710,United States,United States/NJ/Monmouth,NJ,Monmouth,Sandy Hook,40.4376,-73.9916,Juvenile – 1,,,,,,,,,,,S9000000044,,,,,,,,,4600,,3.52,23,,,
612000049,Photo,Field Sparrow,Spizella pusilla,,,Robin Hartley,2024-04-14,2024,4,14,900,United States,United States/NJ/Monmouth,NJ,Monmouth,Sandy Hook,40.4376,-73.9916,Adult Male – 1,"Preening, Scratching, or Bathing",,,,,,,,,,S9000000044,,,,,,,,,5120,,3.18,9,,,
612000050,Photo,Blue Jay,Cyanocitta cristata,,,Robin Hartley,2024-04-20,2024,4,20,815,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Immature – 1,,,,,,,,,,,S9000000045,,,,,,,,,4000,,3.96,23,,,
612000051,Video,Red-winged Blackbird,Agelaius phoeniceus,,,Robin Hartley,2024-04-20,2024,4,20,1000,United States,United States/NY/Queens,NY,Queens,Jamaica Bay Wildlife Refuge,40.6188,-73.8233,Unknown – 1,"Preening, Scratching, or Bathing",,,,,,,,,,S9000000046,,,,,,,,,5550,,3.65,20,,,
612000052,Photo,Red-winged Blackbird,Agelaius phoeniceus,,,Robin Hartley,2024-04-20,2024,4,20,830,United States,United States/NY/Queens,NY,Queens,Jamaica Bay Wildlife Refuge,40.6188,-73.8233,Unknown – 1,"Preening, Scratching, or Bathing",,,,,,,,,,S9000000046,,,,,,,,,5550,,3.26,25,,,
